keys,en,ja,cn,tw,ptbr,es,kr,de,ru,pl,fr,ro,tr,esla
ACHIEVEMENT_TITLE_38,Coookooooo,かっこうかっこう,布谷布谷,布穀布穀,Cucooooooo!,Cooookooooo,,Coookooooo,Кууу-кууууу,Coookooooo,,Cucuuu!,Coookooooo,Cooookooooo
ACHIEVEMENT_DESC_38,Identified {x} Cukoo viruses,ウイルス「カッコー」を{x}体検出する,识别{x}次布谷鸟病毒,識別{x}次布穀鳥病毒,Identificou {x} vírus Cukoo,Identifica {x} 'Virus25_Cukoo',,{x} Cukoo Viren identifiziert,Идентифицировать {x} Ку-ку вирусов,Zidentyfikowano {x} wirusów cuckoo,,Ai identificat {x} viruși Cukoo,{x} Cukoo virüsünü tespit ettin.,Identifica {x} Virus cukoo
ACHIEVEMENT_TITLE_39,Journey to the desk,さるウイルス,桌游记,桌遊記,A viagem até a mesa,Aventura al escritorio,,Die Reise zum Tisch,Путешествие к центру рабочего стола,Wyprawa do biurka,,Călătorie spre birou,Masaya Dönelim,Aventura al escritorio
ACHIEVEMENT_DESC_39,Identified {x} Nimda viruses,ウイルス「Nimda」を{x}体検出する,识别{x}次大圣归来,識別{x}次大聖歸來,Identificou {x} vírus Nimda,Identifica {x} 'Virus26_Nimda',,{x} Nimda Viren identifiziert,Идентифицировать {x} вирусов Nimda,Zidentyfikowano {x} wirusów Nimda,,Ai identificat {x} viruși Nimda,{x} Nimda virüsünü tespit ettin.,Identifica {x} Virus nimda
ACHIEVEMENT_TITLE_40,Botnetted,ボットネット,被抓住了,被抓住了,Virou bot,Botneteado,,Gebotnetzt,Ботнетнулся,zBotnet'owany,,Botnetizat,BOTNETLENDİN,Botneteado
ACHIEVEMENT_DESC_40,Identified {x} Mirai viruses,ウイルス「ミライ」を{x}体検出する,识别{x}次未来病毒,識別{x}次未來病毒,Identificou {x} vírus Mirai,Identifica {x} 'Virus27_Mirai',,{x} Mirai Viren identifiziert,Идентифицировать {x} вирусов Mirai,Zidentyfikowano {x} wirusów Mirai,,Ai identificat {x} viruși Mirai,{x} Mirai virüsünü tespit ettin.,Identifica {x} Virus mirai
ACHIEVEMENT_TITLE_41,Careful Whisper,サックスの探索っす！,古神低语,古神低語,Sussurro Com Jeitinho,Susurro delicado,,Careful Whisper,Неосторожный шепот,Careful Whisper,,Șoaptă atentă,Fısır Fısır Fısır,Susurro delicado
ACHIEVEMENT_DESC_41,Identified {x} Sasser viruses,ウイルス「サッサー」を{x}体検出する,识别{x}次震荡波病毒,識別{x}次震盪波病毒,Identificou {x} vírus Sasser,Identifica {x} 'Virus28_Sasser',,{x} Sasser Viren identifiziert,Идентифицировать {x} вирусов Sasser,Zidentyfikowano {x} wirusów Sasser,,Ai identificat {x} viruși Sasser,{x} Sasser virüsünü tespit ettin.,Identifica {x} Virus sasser
ACHIEVEMENT_TITLE_42,Watch Outlook!,受信箱に気をつけて,注意小心！,注意小心！,Cuidado com o Outlook!,¡Revisa el Correo!,,Pass auf! Outlook!,Берегись Outlook!,Patrz Outlook!,,Ai grijă la Outlook!,Outlook'a Dikkat!,¡Revisa Outlook!
ACHIEVEMENT_DESC_42,Identified {x} Melissa viruses,ウイルス「メリッサ」を{x}体検出する,识别{x}次梅丽莎病毒,識別{x}次梅麗莎病毒,Identificou {x} vírus Melissa,Identifica {x} 'Virus29_Melissa',,{x} Melissa Viren identifiziert,Идентифицировать {x} вирусов Melissa,Zidentyfikowano {x} wirusów Melissa,,Ai identificat {x} viruși Melissa,{x} Melissa virüsünü tespit ettin.,Identifica {x} Virus melissa
ACHIEVEMENT_TITLE_43,Hide your crypto wallets!,フィッシングメールにご注意！,快跑！你码要没了！,快跑！你的碼要沒了！,Esconde tuas cripto!,¡Oculta tus billeteras de criptomonedas!,,Versteckt eure Crypto Währungen!,Прячь криптокошельки!,Chowaj swoje portfele krypto!,,Ascunde-ți portofelele crypto!,Kripto Cüzdanlarını Sakla!,¡Oculta tus billeteras de criptomonedas!
ACHIEVEMENT_DESC_43,Identified {x} Zetabot viruses,ウイルス「Zbot」を{x}体検出する,识别{x}次宙斯僵尸网络,識別{x}次宙斯殭屍網路,Identificou {x} vírus Zetabot,Identrifica {x} 'Virus30_ZBot',,{x} Zetabot Viren identifiziert,Идентифицировать {x} вирусов Zetabot,Zidentyfikowano {x} wirusów Zetabot,,Ai identificat {x} viruși Zetabot,{x} Zetabot virüsünü tespit ettin.,Identrifica {x} Virus zetabot
ACHIEVEMENT_TITLE_44,Quick Scan,クイックスキャン,,,Varredura Rápido,Escaneo Rápido,,Kurzer Scan,Быстрое сканирование,Szybki skan,,Scanare Rapidă,Hızlı Tarama,Escaneo rápido
ACHIEVEMENT_DESC_44,Checked {x} files for viruses,{x}件のファイルをウイルスチェックする,,,Checou {x} arquivos em busca de vírus,Revisa {x} archivos en busca de virus,,{x} Dateien auf Viren untersucht,Проверить на вирусы {x} файлов,Przeskanowano {x} plików szukając wirusów,,Ai verificat {x} fișiere pentru viruși,Virüs için {x} dosyayı kontrol ettin.,Revisa {x} archivos en busca de virus
ACHIEVEMENT_TITLE_45,Drive Scan,ドライブスキャン,,,Varredura de Drive,Escaneo del Disco,,Laufwerk Scan,Сканирование диска,Skan dysku,,Scanare de partiție,Sürücü Taraması,Escaneo del disco
ACHIEVEMENT_DESC_45,Checked {x} files for viruses,{x}件のファイルをウイルスチェックする,,,Checou {x} arquivos em busca de vírus,Revisa {x} archivos en busca de virus,,{x} Dateien auf Viren untersucht,Проверить на вирусы {x} файлов,Przeskanowano {x} plików szukając wirusów,,Ai verificat {x} fișiere pentru viruși,Virüs için {x} dosyayı kontrol ettin.,Revisa {x} archivos en busca de virus
ACHIEVEMENT_TITLE_46,System Scan,システムスキャン,,,Varredura de Sistema,Escaneo del Sistema,,System Scan,Сканирование системы,Skan systemu,,Scanare de sistem,Sistem Taraması,Escaneo del sistema
ACHIEVEMENT_DESC_46,Checked {x} files for viruses,{x}件のファイルをウイルスチェックする,,,Checou {x} arquivos em busca de vírus,Revisa {x} archivos en busca de virus,,{x} Dateien auf Viren untersucht,Проверить на вирусы {x} файлов,Przeskanowano {x} plików szukając wirusów,,Ai verificat {x} fișiere pentru viruși,Virüs için {x} dosyayı kontrol ettin.,Revisa {x} archivos en busca de virus
ACHIEVEMENT_TITLE_47,Aimbot,神エイム,,,Aimbot,AimBot,,Aimbot,Аимбот,Aimbot,,Aimbot,Aimbot,AimBot
ACHIEVEMENT_DESC_47,Get S Rank in the Aim Minigame,射撃ミニゲームでSランクを獲得,,,Obtenha Rank S no minigame de mira,Consigue un rango S en el minijuego de puntería,,Erreiche den S-Rang im Ziel-Minispiel,Получить S-ранг в мини-игре на аим,Zdobądź rangę S w minigrze strzeleckiej,,Obține rangul S în minijocul de țintire,Aim minioyununda S derecesi aldın.,Consigue rango S en el minijuego de puntería
ACHIEVEMENT_TITLE_48,Cursor does not dream of bunny girl,青春カーソル野郎はバニーガールの夢を見ない,,,Cursor não sonha com garotas coelhinho,Un cursor no sueña con chica conejita,,Cursor does not dream of bunny girl,Этот глупый курсор не понимает мечту девочки-зайки,Kursor nie śni o królikach,,Cursorul nu visează la fata iepuraș,İmleç Tavşan Kızı Düşlemiyor,Un cursor no sueña con chica conejita
ACHIEVEMENT_DESC_48,Identified {x} Diva viruses,ウイルス「ディーヴァ」を{x}体検出する,,,Identificou {x} vírus Diva,Identifica {x} 'Virus4_Diva',,{x} Divaviren identifiziert,Идентифицировать {x} Див,Zidentyfikowano {x} diva wirusów,,Ai identificat {x} viruși Diva,{x} Diva virüsünü tespit ettin.,Identifica {x} Virus diva
ACHIEVEMENT_TITLE_49,Virus Hunter: Novice,ウイルスハンター：駆け出し,,,Caçador de Vírus: Novato,Cazador de Virus: Novato,,Viren Hunter: Anfänger,Охотник за вирусами: Новичок,Łowca wirusów: Początkujący,,Vânător de viruși: Novice,Virüs Avcısı: Acemi,Cazador de virus: Novato
ACHIEVEMENT_DESC_49,Identified {x} viruses in total,ウイルスを累計{x}体検出する,,,Identificou {x} vírus no total,Identifica {x} virus en total,,Insgesamt {x} Viren identifiziert,Идентифицировать в общей сложности {x} вирусов,Zidentyfikowano łącznie {x} wirusów,,Ai identificat în total {x} viruși,Toplam {x} virüs tespit ettin.,Identifica {x} virus en total
ACHIEVEMENT_TITLE_50,Virus Hunter: Apprentice,ウイルスハンター：見習い,,,Caçador de Vírus: Aprendiz,Cazador de Virus: Aprendiz,,Viren Hunter: Lehrling,Охотник за вирусами: Ученик,Łowca wirusów: Praktykant,,Vânător de viruși: Ucenic,Virüs Avcısı: Çırak,Cazador de virus: Aprendiz
ACHIEVEMENT_DESC_50,Identified {x} viruses in total,ウイルスを累計{x}体検出する,,,Identificou {x} vírus no total,Identifica {x} virus en total,,Insgesamt {x} Viren identifiziert,Идентифицировать в общей сложности {x} вирусов,Zidentyfikowano łącznie {x} wirusów,,Ai identificat în total {x} viruși,Toplam {x} virüs tespit ettin.,Identifica {x} virus en total
ACHIEVEMENT_TITLE_51,Virus Hunter: Professional,ウイルスハンター：プロ,,,Caçador de Vírus: Profissional,Cazador de Virus: Profesional,,Viren Hunter: Professionell,Охотник за вирусами: Профи,Łowca wirusów: Profesjonalista,,Vânător de viruși: Profesionist,Virüs Avcısı: Profesyonel,Cazador de virus: Profesional
ACHIEVEMENT_DESC_51,Identified {x} viruses in total,ウイルスを累計{x}体検出する,,,Identificou {x} vírus no total,Identifica {x} virus en total,,Insgesamt {x} Viren identifiziert,Идентифицировать в общей сложности {x} вирусов,Zidentyfikowano łącznie {x} wirusów,,Ai identificat în total {x} viruși,Toplam {x} virüs tespit ettin.,Identifica {x} virus en total
ACHIEVEMENT_TITLE_52,Virus Hunter: Master,ウイルスハンター：マスター,,,Caçador de Vírus: Mestre,Cazador de Virus: Maestro,,Viren Hunter: Meister,Охотник за вирусами: Мастер,Łowca wirusów: Mistrz,,Vânător de viruși: Maestru,Virüs Avcısı: Usta,Cazador de virus: Maestro
ACHIEVEMENT_DESC_52,Identified {x} viruses in total,ウイルスを累計{x}体検出する,,,Identificou {x} vírus no total,Identifica {x} virus en total,,Insgesamt {x} Viren identifiziert,Идентифицировать в общей сложности {x} вирусов,Zidentyfikowano łącznie {x} wirusów,,Ai identificat în total {x} viruși,Toplam {x} virüs tespit ettin.,Identifica {x} virus en total
ACHIEVEMENT_TITLE_53,Virus Hunter: Grand Master,ウイルスハンター：グランドマスター,,,Caçador de Vírus: Grão-Mestre,Cazador de Virus: Gran Maestro,,Viren Hunter: Großmeister,Охотник на вирусов: Гранд-мастер,Łowca wirusów: Arcymistrz,,Vânător de viruși: Mare Maestru,Virüs Avcısı: Büyük Usta,Cazador de virus: Gran maestro
ACHIEVEMENT_DESC_53,Identified {x} viruses in total,ウイルスを累計{x}体検出する,,,Identificou {x} vírus no total,Identifica {x} virus en total,,Insgesamt {x} Viren identifiziert,Идентифицировать в общей сложности {x} вирусов,Zidentyfikowano łącznie {x} wirusów,,Ai identificat în total {x} viruși,Toplam {x} virüs tespit ettin.,Identifica {x} virus en total
ACHIEVEMENT_TITLE_54,Virus Hunter: Legendary,伝説のウイルスハンター,,,Caçador de Vírus: Lenda,Cazador de Virus: Leyenda,,Viren Hunter: Legendär,Охотник на вирусов: Легенда,Łowca wirusów: Legenda,,Vânător de viruși: Legendar,Virüs Avcısı: Efsane,Cazador de virus: Legendario
ACHIEVEMENT_DESC_54,Identified {x} viruses in total,ウイルスを累計{x}体検出する,,,Identificou {x} vírus no total,Identifica {x} virus en total,,Insgesamt {x} Viren identifiziert,Идентифицировать в общей сложности {x} вирусов,Zidentyfikowano łącznie {x} wirusów,,Ai identificat în total {x} viruși,Toplam {x} virüs tespit ettin.,Identifica {x} virus en total
ACHIEVEMENT_TITLE_55,WATCH OUT!!,顔面タックル,,,CUIDADO!!,¡¡CUIDADO!!,,PASS AUF!!!,ПОБЕРЕГИСЬ!!,UWAGA!!,,ATENȚIE!!,ÖNÜNE BAKSANA!,¡¡CUIDADO!!
ACHIEVEMENT_DESC_55,Smash headfirst into a spike obstacle,トゲに頭から突っ込む,,,Caia de cabeça em um obstáculo de espinhos,Choca de cabeza contra un obstáculo con pinchos,,Mit dem Kopf voran gegen ein Stachelhindernis!,Напороться на шипы,Uderz głową w kolce,,Te-ai izbit cu capul într-un obstacol cu țepi,Kafa üstü bir spike engeline çarptın.,Choca de cabeza contra un obstáculo con pinchos
ACHIEVEMENT_TITLE_56,What's a HP Bar?,体力ゲージってなに？,,,O que é uma Barra de HP?,¿Qué es una Barra de Vida?,,Was? Ich hatte Leben?! ICH DACHTE DAS WÄRE ONE TRY!,Какая еще полоска здоровья?,Czym jest pasek życia?,,Ce-i ăla HP Bar?,"Can Barı dediğinin, boş bir kasedir!",¿Qué es una barra de vida?
ACHIEVEMENT_DESC_56,Complete a drive without taking damage,ノーダメージでドライブを1つ調べる,,,Complete um drive sem levar dano,Completa un disco sin recibir daño,,Vervollständige eine Datenbank ohne Schaden zu nehmen,"Зачистить диск, не получив урона",Ukończ dysk bez otrzymania obrażeń,,Termină o partiție fără să primești daune,Hasar almadan bir oyun tamamladın.,Completa un disco sin recibir daño
ACHIEVEMENT_TITLE_57,Challenge Accepted,受けて立つ,,,Challenge Accepted,Desafío aceptado,,Herausforderung angenommen!,Вызов принят,Wyzwanie zaakceptowane,,Provocare Acceptată,Challenge Accepted,Desafío aceptado
ACHIEVEMENT_DESC_57,Complete {x} challenge rooms,累計{x}つのチャレンジルームをクリア,,,Complete {x} salas de desafios,Completa {x} desafíos,,Besiege {x} Herausforderungen,Пройти {x} комнат испытаний,Ukończ {x} wyzwań,,Termină {x} camere de provocare,{x} meydan okuma odasını tamamladın.,Completa {x} habitaciones de desafío
ACHIEVEMENT_TITLE_58,Compulsive Hoarder,ため込み魔,,,Colecionador Compulsivo,Avaricia Compulsiva,,Zwangs Horten ,Компульсивный накопитель,Kompulsywny zbieracz,,Colecționar compulsiv,"Cimri değilim, tutumluyum!",Avaricia compulsiva
ACHIEVEMENT_DESC_58,Complete a drive without spending any coins,コインを使わずにドライブを1つ調べる,,,Complete um drive sem gastar nenhuma moeda,Completa un disco sin gastar ninguna moneda,,Vervollständige eine Datenbank ohne eine Münze auszugeben,"Зачистить диск, не потратив ни одной монеты",Ukończ dysk bez wydania żadnych monet,,Termină o partiție fără să cheltui monede,Hiç coin harcamadan bir oyun tamamladın.,Completa un disco sin gastar ninguna moneda
ACHIEVEMENT_TITLE_59,MOM? MOM!! I won!!,ママ！？ママ！！当たった！,,,MÃE? MÃE!! Eu ganhei!!,¿MAMÁ? ¡MAMÁ! ¡GANÉE!,,MAMA? MAMI?! HAB GEWONNEN!!!,МАМ? МАМ!! Я выиграл!!,MAMO? MAMO!! Wygrałem!!,,MAMĂ? MAMĂ!! AM CÂȘTIGAT!!,ANNEEEE!,¿MAMÁ? ¡MAMÁ! ¡GANÉ!
ACHIEVEMENT_DESC_59,Win the lottery,当選チケットを引く,,,Ganhe na loteria,Gana la lotería,,Gewinn im Lotto,Выиграть в лотерею,Wygraj loterię,,Câștigă la loterie,Piyangoyu kazandın.,Gana la lotería
ACHIEVEMENT_TITLE_60,"Stop, Stop! He's already dead",もうやめて！彼のライフはゼロよ！,,,"Pare, pare! Ele já está morto","¡Para, PARA! ¡Ya está muerto!",,"Stop, Stop! Er ist schon tot","Хватит, остановись! Он уже мертв","Przestań, Przestań! On jest już martwy",,Oprește-te! E deja mort!,"Dur, Dur! O Zaten Öldü","¡Para, para! ¡Ya está muerto!"
ACHIEVEMENT_DESC_60,Identify a boss virus under {x} seconds,ボスウイルスを{x}秒以内に検出する,,,Identifique um vírus de chefe em menos de {x} segundos,Identifica un boss en menos de {x} segudos,,Identifiziere ein Boss Virus unter {x} Sekunden,Идентифицировать вируса-босса за {x} сек.,Zidentyfikuj wirusowego boss'a w poniżej {x} sekund,,Identifică un virus boss în mai puțin de {x} secunde,{x} saniyenin altında bir sürede bir boss virüsü tespit ettin.,Identifica un virus jefe en menos de {x} segundos
ACHIEVEMENT_TITLE_61,Completionist,コンプ勢,,,Complecionista,Completista,,Perfektionist,Перфекционист,Kolekcjoner,,Completist,Koleksiyoner,Completista
ACHIEVEMENT_DESC_61,Complete the database,データベースをコンプリートする,,,Complete o banco de dados,Completa la base de datos,,Vervollständige die Datenbank,Заполнить базу данных,Ukończ całą bazę danych,,Completează baza de date,Veritabanını tamamladın.,Completa la base de datos
ACHIEVEMENT_TITLE_62,Is that... a shiny virus?,あれ…色違いじゃない？,,,Isso aí é... um vírus brilhante?,¿Es eso... un virus shiny?,,Ist das…ein shiny Virus?,Это что... сияющий вирус?,Czy to... shiny wirus?,,Ăla e... un virus shiny?,Bu... parlak bir virüs mü?,¿Es eso... un virus brillante?
ACHIEVEMENT_DESC_62,Identify the first shiny virus,初めて色違いのウイルスを検出する,,,Identifique o primeiro vírus brilhante,Identifica tu primer virus shiny,,Identifiziere dein erstes shiny Virus,Идентифицировать первый сияющий вирус,Zidentyfikowano pierwszego shiny wirusa,,Identifică primul virus shiny,İlk parlak virüsü tespit ettin.,Identifica tu primer virus brillante
ACHIEVEMENT_TITLE_63,PENTA KILL,ペンタキル,,,PENTAKILL,PENTA KILL,,PENTA KILL,PENTA KILL,PENTA KILL,,PENTA KILL,BEŞTE BEŞ!,ASESINATO QUÍNTUPLE
ACHIEVEMENT_DESC_63,Identify 5 viruses within {x} seconds,{x}秒以内にウイルスを5体検出する,,,Identifique 5 vírus em {x} segundos,Identifica 5 virus en {x} segundos,,Identifiziere 5 Viren innerhalb {x} Sekunden,Идентифицировать 5 вирусов за {x} сек.,Zidentyfikuj 5 wirusów w poniżej {x} sekund,,Identifică 5 viruși în {x} secunde,{x} saniye içinde 5 virüs tespit ettin.,Identifica 5 virus en {x} segundos
ACHIEVEMENT_TITLE_64,Party Pooper,パーティー終了のお知らせ,,,Estraga-prazeres,Aguafiestas,,Spaßverderber ,Кайфолом,Pan maruda niszczyciel dobrej zabawy,,Strică-petrecerea,Oyun Bozan,Aguafiestas
ACHIEVEMENT_DESC_64,Identify {x} Diva viruses during their attack,攻撃モーション中のウイルス「ディーヴァ」を{x}体検出する,,,Identifique {x} vírus Diva durante seu ataque,Identifica {x} 'Virus4_Diva' mientras están realizando su ataque,,Identifiziere {x} Diva Viren während eines Angriffs,Идентифицировать {x} Див во время их атаки,Zidentyfikuj {x} diva wirusów podczas ich ataku,,Identifică {x} viruși Diva în timpul atacului lor,Saldırı sırasında {x} Diva virüsünü tespit ettin.,Identifica {x} Virus diva mientras están realizando su ataque
ACHIEVEMENT_TITLE_65,Hoof Breaker,ヒヅメ割り,,,Quebra-Cascos,Rompe pezuñas,,Pferdehufen bringen Glück,Копытолом,Łamacz kopyt,,Spărgătorul de copite,Nal Kıran,Rompe pezuñas
ACHIEVEMENT_DESC_65,Identify {x} Trojan viruses during their attack,攻撃モーション中のウイルス「トロイ」を{x}体検出する,,,Identifique {x} vírus Trojan durante seu ataque,Identifica {x} 'Virus3_Troyano' mientras están realizando su ataque,,Identifiziere {x} Trojaner während eines Angriffs,Идентифицировать {x} Троянов во время их атаки,Zidentyfikuj {x} trojanów podczas ich ataku,,Identifică {x} viruși Trojan în timpul atacului lor,Saldırı sırasında {x} Truva virüsünü tespit ettin.,Identifica {x} Virus troyano mientras están realizando su ataque
ACHIEVEMENT_TITLE_66,Angery,ブチギレ,,,Pistolito,Enojo,,Da werd ich aber ganz schön sauer!,Злюки,Gniewny,,Furios,Öfkeli,Enojo
ACHIEVEMENT_DESC_66,Identify {x} viruses with Explosive Temper,「触れるな危険」の性質を持つウイルスを{x}体検出する,,,Identifique {x} vírus com Temperamento Explosivo,Identifica {x} virus con el item 'Temperamento Explosivo',,Identifizieren Sie {x} Viren mit explosivem Temperament,"Идентифицировать {x} вирусов, используя взрывной нрав",Zidentyfikuj {x} wirusów za pomocą wybuchowego temperamentu,,Identifică {x} viruși cu Explosive Temper,Explosive Temper ile {x} virüsünü tespit ettin.,Identifica {x} virus con Temperamento explosivo
ACHIEVEMENT_TITLE_67,"One Shot, One Kill",検出一閃,,,"Um tiro, uma morte","Un golpe, una identificación",,Volltreffer!,Один выстрел – один труп,"Jeden strzał, jedno zabójstwo",,"O lovitură, o ucidere","One Shot, One Kill","Un disparo, una muerte"
ACHIEVEMENT_DESC_67,Identify a virus with a single attack,1回の攻撃でウイルスを検出する,,,Identifique um vírus com um único ataque,Identifica un virus con un único ataque,,Identifiziere ein Virus mit nur einem Angriff,Идентифицировать вирус одним ударом,Zidentyfikuj wirusa jednym atakiem,,Identifică un virus cu un singur atac,Tek bir saldırıyla bir virüs tespit ettin.,Identifica un virus con un único ataque
ACHIEVEMENT_TITLE_68,Overkill is not in my dictionary,我が辞書に「オーバーキル」の文字はない,,,Exagero não faz parte do meu dicionário,Overkill no está en mi diccionario,,Übertrieben? Steht nicht in meinem Wörterbuch,Чувство меры? Не слышал,Przesada nie jest w moim słowniku,,Overkill nu există în dicționarul meu,Aşırıya Kaçmak Kitabımda Yazmaz,La exageración no está en mi diccionario
ACHIEVEMENT_DESC_68,Deal more than 50 damage in a single attack,一回の攻撃で50以上のダメージを与える,,,Cause mais de 50 de dano em um único ataque,Inflinge más de 50 de daño en un único ataque,,Füge mehr als 50 Schaden In nur einem Angriff zu ,Нанести более 50 урона за одну атаку,Zadaj ponad 50 obrażeń w jednym ataku,,Provoacă peste 50 de daune într-un singur atac,Tek bir saldırıda 50'den fazla hasar verdin.,Inflige más de 50 de daño con un solo ataque
ACHIEVEMENT_TITLE_69,Nice,オトナな数字,,,Nice,GUAY,,Nice,Красота,Najs,,Nice,Nice,Genial
ACHIEVEMENT_DESC_69,Have exactly 69 coins at the end of a run,ラン終了時の所持コインをちょうど69枚にする,,,Tenha exatamente 69 moedas no final de uma run,Ten exactamente 69 monedas al final de la partida,,Genau 69 Münzen am ende eines runs,Накопить ровно 69 монет по окончании забега,Posiadaj dokładnie 69 monet na końcu podejścia,,Ai exact 69 de monede la finalul unei runde,Bir oyunun sonunda tam olarak 69 coin’in oldu.,Ten exactamente 69 monedas al final de una partida
ACHIEVEMENT_TITLE_70,Drive Wiped: C:\,Cドライブのお掃除,,,Disco limpo: C:\,Disco Liberado: C:\,,Laufwerk gelöscht: C:\,Диск форматирован: C:\,Dysk wyczyszczony: C:\,,Partiție ștearsă: C:\,Sürücü Silindi: C:\,Disco liberado: C:\
ACHIEVEMENT_DESC_70,Cleared the C Drive,Cドライブのウイルスを駆除する,,,Termine o Drive C,Completa el disco C,,Laufwerk C bereinigt,Зачистить диск C,Wyczyszczono dysk C:\,,Ai curățat partiția C,C sürücüsünü temizledin.,Completa el disco C
ACHIEVEMENT_TITLE_71,Drive Wiped: D:\,Dドライブのお掃除,,,Disco limpo: D:\,Disco Liberado: D:\,,Laufwerk gelöscht: D:\,Диск форматирован: D:\,Dysk wyczyszczony: D:\,,Partiție ștearsă: D:\,Sürücü Silindi: D:\,Disco liberado: D:\
ACHIEVEMENT_DESC_71,Cleared the D Drive,Dドライブのウイルスを駆除する,,,Termine o Drive D,Completa el disco D,,Laufwerk D bereinigt,Зачистить диск D,Wyczyszczono dysk D:\,,Ai curățat partiția D,D sürücüsünü temizledin.,Completa el disco D
ACHIEVEMENT_TITLE_72,Drive Wiped: E:\,Eドライブのお掃除,,,Disco limpo: E:\,Disco Liberado: E:\,,Lauwerk gelöscht: E:\,Диск форматирован: E:\,Dysk wyczyszczony: E:\,,Partiție ștearsă: E:\,Sürücü Silindi: E:\,Disco liberado: E:\
ACHIEVEMENT_DESC_72,Cleared the E Drive,Eドライブのウイルスを駆除する,,,Termine o Drive E,Completa el disco E,,Laufwerk E bereinig,Зачистить диск E,Wyczyszczono dysk E:\,,Ai curățat partiția E,E sürücüsünü temizledin.,Completa el disco E
ACHIEVEMENT_TITLE_73,Drive Wiped: F:\,Fドライブのお掃除,,,Disco limpo: F:\,Disco Liberado: F:\,,Laufwerk gelöscht: F:\,Диск форматирован: F:\,Dysk wyczyszczony: F:\,,Partiție ștearsă: F:\,Sürücü Silindi: F:\,Disco liberado: F:\
ACHIEVEMENT_DESC_73,Cleared the F Drive,Fドライブのウイルスを駆除する,,,Termine o Drive F,Completa el disco F,,Laufwerk F bereinigt,Зачистить диск F,Wyczyszczono dysk F:\,,Ai curățat partiția F,F sürücüsünü temizledin.,Completa el disco F
ACHIEVEMENT_TITLE_74,Cloud Engineer,クラウドエンジニア,,,Engenheiro de Cloud,Ingeniero de Nubes,,Cloud Ingenieur ,Облачный инженер,Inżynier chmury,,Inginerul Norului,Bulut Mühendisi,Ingeniero de nubes
ACHIEVEMENT_DESC_74,Identified the CloudCoreX,「クラウドコアX」を検出する,,,Identificou o CloudCoreX,Identifica 'Boss3_ElNucleoNubeX',,CloudCoreX identifiziert,Идентифицировать ОблачноеЯдроX,Zidentyfikowano CloudCoreX,,Ai identificat CloudCoreX,CloudCoreX'i tespit ettin.,Identifica al jefe Núcleo de nubes X
ACHIEVEMENT_TITLE_75,EZ AI?,もしかしてチョロい？,,,IA IZI?,EZ IA?,,EZ AI?,ИЗИ ИИ?,EZ AI?,,AI ușor?,Kolay AI mı?,¿FÁCIL IA?
ACHIEVEMENT_DESC_75,Identified the LEV_AI,「LEV_AI」を検出する,,,Identificou o LEV_AI,Identifica 'Boss4_LEV_IA',,LEV_AI identifiziert,Идентифицировать ЛЕВ_ИИ,Zidentyfikowano LEV_AI,,Ai identificat LEV_AI,LEV_AI'yi tespit ettin.,Identifica al jefe Lev IA
ACHIEVEMENT_TITLE_76,Auto Clicker,オートクリッカー,,,Auto-Clicker,Auto Clicker,,Auto Klicker,Автокликер,Auto Clicker,,Auto Clicker,Otomatik Tıklayıcı,Cliqueado automático
ACHIEVEMENT_DESC_76,Unlock the Clicking Cursor,クリックカーソルをアンロックする,,,Desbloqueou o Cursor de Clique,Desbloquea el Cursor de Clicks,,Schalte den Klick Cursor frei,Разблокировать Кликающий курсор,Odblokuj kursor klikający,,Deblochează Clicking Cursor,Tıklayan imleci açtın.,Desbloquea el Cursor de clics
ACHIEVEMENT_TITLE_77,Identifier,検出しますた,,,Identificador,Identificador,,Identifier,Идентификатор,Identyfikator,,Identificator,Tanımlayıcı,Identificador
ACHIEVEMENT_DESC_77,Unlock the Identifying Cursor,検出カーソルをアンロックする,,,Desbloqueou o Cursor de Identificação,Desbloquea el Cursor de Identificación,,Schalte den Identifizier Cursor frei,Разблокировать Курсор-идентификатор,Oblokuj kursor identyfikujący,,Deblochează Identifying Cursor,Tanımlayan imleci açtın.,Desbloquea el Cursor de identificación
ACHIEVEMENT_TITLE_78,Ctrl + Shift + A,Ctrl+Shift+A,,,Ctrl + Shift + A,Ctrl + Shift + A,,Ctrl + Shift + A,Ctrl + Shift + A,Crtl + Shift + A,,Ctrl + Shift + A,Ctrl + Shift + A,Ctrl + Shift + A
ACHIEVEMENT_DESC_78,Unlock the Selection Cursor,範囲選択カーソルをアンロックする,,,Desbloqueou o Cursor de Seleção,Desbloquea el Cursor de Selección,,Schalte den Auswahl Cursor frei,Разблокировать Курсор-выделитель,Odblokuj kursor zaznaczający,,Deblochează Selection Cursor,Seçim imlecini açtın.,Desbloquea el Cursor de selección
ACHIEVEMENT_TITLE_79,In one's sights,狙い撃つぜ,,,Na mira,En la mira,,Im Blickfeld,Под прицелом,W widoku,,În linia de foc,Hedefte,En la mira
ACHIEVEMENT_DESC_79,Unlock the Crosshair Cursor,照準カーソルをアンロックする,,,Desbloqueou o Cursor de Mira,Desbloquea el Cursor de Punto de Mira,,Schalte den Fadenkreuz Cursor frei,Разблокировать Курсор-прицел,Odblokuj kursor celownik,,Deblochează Crosshair Cursor,Nişangah imlecini açtın.,Desbloquea el Cursor de punto de mira
